code;experience;age;ranking;default_prin;default_int;default_both1;default;wpcentral;wpcity;wpcompany;wpother;wpdirector;wpmanager;wpspecialist;wpothers;cash;home100;liveparent;rent;newcustomer;notran;notran3;income2;spending2
20673202;37;25;BB;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;3.5;9
20822328;21;25;A;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;8;7
20774216;30;25;BBB;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;5;6
20004662;45;25;AA;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;6.5;12.5
20647094;27;25;BBB;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;4.65;6.65
20266420;24;25;BBB;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;3.9;5
20566977;18;25;BBB;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;2.9;5
20018863;36;25;AA;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;7;10.5
20015301;36;25;A;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;5.2;5.2
20071578;30;25;A;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;4.58;10
20621569;24;25;BBB;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;3.5;6.5
20856317;24;25;A;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;6;10
20492594;24;25;BBB;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;6;12
20133235;24;25;A;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;4.5;12.5
20550859;54;25;A;1;1;1;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;5;19
20640220;9;25;BBB;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;3.5;2
20856317;48;25;BBB;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;10.2;5
20866536;34;25;BBB;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;3.2;10
20838764;26;25;BBB;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;6;20
20190285;24;25;A;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;5.5;25
20014287;36;25;BBB;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;5.5;3.5
20018995;36;25;AA;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;6.8;12.8
20390512;36;25;BBB;1;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;3.5;12
20453343;18;25;A;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;4;10
20191453;20;25;A;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;5.5;2.5
20293413;25;25;BBB;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;7;8
20029726;36;26;AA;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;1;0;0;5.64;10
20064099;24;26;A;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;5.5;3.5
20177081;18;26;BBB;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;5.2;4.2
20028021;37;26;A;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;5;6
20375868;37;26;A;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;4.7;4.7
20042494;38;26;AA;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;8;10
20636931;29;26;BBB;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;7;7
20449718;36;26;AA;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;4;18
20043188;38;26;AA;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;6;8
20474901;46;26;BBB;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;4;5
20568455;27;26;BBB;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;3;6
20277324;32;26;BBB;1;1;1;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;8;22
20561031;20;26;A;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;9;19
20128947;36;26;A;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;5;6
20743993;26;26;A;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;4.2;12
20035850;20;26;AA;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;5.6;13.6
20406768;40;26;BBB;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;4.33;5
20113862;36;26;AA;1;1;1;1;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;7;12
20191897;27;26;BB;1;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;3.2;4
10815267;46;26;AA;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;6.5;2.65
20663227;28;26;BB;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;2;4
20176016;48;26;AA;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;4.2;7
20499129;24;26;A;1;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;4.5;10
20042494;40;26;A;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;7;7
20553732;48;26;A;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;5;4
20176016;48;26;A;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;4.2;2.2
10815267;48;26;AA;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;7.6;17.6
20135200;24;26;BBB;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;5.5;12.5
20299010;48;26;A;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;4.8;9.3
20046808;24;26;A;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;4.5;12
20171372;24;26;A;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;4.5;5
20557745;23;27;A;1;1;1;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;3;2
10814583;36;27;AAA;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;1;0;0;11;15
20564964;24;27;A;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;6;15
20389963;60;27;A;1;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;5;12
20147955;25;27;BB;1;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;4.4;7.4
20576521;43;27;A;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;3;12
10137847;83;27;AA;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;6.4;14.4
20673747;42;27;BBB;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;4;8
20642871;28;27;BB;1;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;3.3;9
20337384;60;27;AA;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;4;10
20056127;33;27;BBB;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;3.5;9
20673198;42;27;BB;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;4.5;9
20577532;62;27;BBB;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;4.5;5.5
20584203;19;27;AA;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;4.9;11
20656582;41;27;BB;1;1;1;1;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;2.7;4.7
20118220;60;27;A;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;5;4
20849082;48;27;BB;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;4;3
20921719;48;27;BBB;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;4;6
20808472;60;27;BBB;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;4;8
20029726;42;27;AA;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;7.5;16
20406768;40;27;A;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;4.33;12
20838753;60;27;BBB;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;4.5;8
20190796;48;27;A;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;21;15
20943042;48;27;BBB;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;5;4
20925109;36;27;BBB;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;4;15
20012016;42;27;AA;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;7;17.5
20057813;29;27;A;1;1;1;1;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;4;9
20831037;16;27;A;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;10;9
